Topic,Words,Frequency,Timestamp,Global_Representation
-1,"1950er jahren, späten 1950er, armstrongs, 1959, zahlen zahlen",1116,1955-1959,Rauschen
0,"if forget, trummy, mag liebe, must dreaming, oooh",8,1955-1959,Zerrissene Selbstreflexion
1,"späten 1950er, frühen rock, bop, mambo, roll ära",148,1955-1959,Kollektiver Tanzrausch
2,"raining, ida, wetterphänomen, drip, äußere wetter",19,1955-1959,Regen als Trauermotiv
3,"weihnachtsmanns, claus, santa claus, merry christmas, weihnachtszeit",41,1955-1959,Weihnachtslieder
4,"money honey, mort, konsumgesellschaft, got plenty, voo",40,1955-1959,Konsumkritik
5,"luigi, prima, immigrantenerfahrung, traums risiko, over numbers",1,1955-1959,"Luxus, Gewalt, Kriminalität"
6,"maybellene, cumberland, corey, maybelline, gap",18,1955-1959,Autofahren als Freiheitsmotiv
7,"romantische ideologie, 1950er jahren, späten 1950er, simple tief, klassisches liebeslied",276,1955-1959,Ewige Liebesbindung
8,"eisenbahn, choo, lokomotive, zugfahrt, choo choo",38,1955-1959,Der Zug als Metapher für das Voranschreiten
9,"heaven have, zeuge täter, wahrsager, get yours, cry cry",7,1955-1959,Zerrissene Psyche
10,"gläubigen, christlichen, christlicher, vertrauen göttliche, ave",66,1955-1959,Göttliche Gegenwart
11,"down below, captured, witch, tender trap, feuer genährt",10,1955-1959,Feuer als Motiv der Leidenschaft
12,"earth angel, angel eyes, himmlisches, lucky devil, angel child",10,1955-1959,Engelsmotive
13,"draft, sünder, afrika, feindseligkeiten, minuet",11,1955-1959,Gesellschaftskritik und Krieg
14,"signorina, vermont, blue moon, moonglow, dream little",71,1955-1959,Mondmotive und Liebe
15,"good morning, africa, morgengrußes, chipmunks, happy days",10,1955-1959,Solidarität und Kollektivität
16,"seemanns, avalon, kapitän, seemann, waterfront",55,1955-1959,Motive des Meeres
17,"lonely street, casa, somewhere along, way home, wiederaufbaus",44,1955-1959,Heimat und Zugehörigkeit
18,"späten 1950er, 1950er jahren, schlichten eindringlichen, unerwiderter, klassisches beispiel",446,1955-1959,Unerwiderte Liebe
19,"jahr 1955, 1955, como, kulturelles echo, ve lived",25,1955-1959,Selbstermächtigung und Resilienz
21,"bethlehem, hirten, christi, neugeborenen, inkarnation",31,1955-1959,Christlicher Glaube
22,"tina, 1950er jahren, verführerin, judy, violine",58,1955-1959,Toxische Liebesabhängigkeit
23,"basin street, basin, südens, mississippi, creole",31,1955-1959,Sehnsucht nach Amerika
24,"sorry now, who sorry, way now, plead, 1950er jahren",23,1955-1959,Befreiung aus toxischer Beziehung
25,"never saw, blue skies, capistrano, schwalben, saw things",29,1955-1959,Fliegen als Freiheitsmotiv 
26,"morgenstern, arriba, liebe alltägliche, choo, irdisch",103,1955-1959,Liebe als Transzendentes
27,"tic, almost grown, emotionales bekenntnis, tic tic, bindung kind",9,1955-1959,Eltern‑Kind Bindung
28,"one baby, kind poet, more road, barkeepers, baby one",4,1955-1959,Alkohol und Einsamkeit
29,"fool such, such as, torheit, there fool, coquette",40,1955-1959,Naivität in der Liebe
30,"domino, fats domino, fats, please come, honky tonkin",39,1955-1959,Das Telefon als Sehnsuchtsmotiv
31,"späten 1950er, 1950er jahren, frühen rock, beispiel jugendliche, jugendlicher verliebtheit",330,1955-1959,Jugendliche Liebesballade
32,"toyland, thursday child, thursday, columbus, armstrongs",18,1955-1959,Nostalgie der Jugend
33,"schnees, let snow, nutzt winterliche, overcoat, off with",12,1955-1959,Winter als Liebesmetapher
34,"zärtliches wiegenlied, small one, day zärtliches, little ve, sleep little",7,1955-1959,Schlaflieder
35,"kartoffeln, rattle, charlie brown, rattle roll, shake rattle",23,1955-1959,Technokratische Dystopie und Systemkritik
36,"diamonds sky, moral kälte, preis verrats, rays life, bezeichnet selbstüberschätzung",2,1955-1959,Edelsteine als Motiv für Beständigkeit
37,"snoop, track provokanten, konstruiert rohen, definiert jagd, if dog",1,1955-1959,Westküsten‑Gangsta‑Identität
38,"gambler, spielers, losing hand, glücksspiels, sweet bouquet",13,1955-1959,Glücksspiel als Metapher für das Leben
39,"america, peas, uncle sam, general, uncle",24,1955-1959,Amerikanische Identität und Kolonialismus
40,"side by, career, yea, 1957 melancholisches, ll try",32,1955-1959,Bedingungslose Unterstützung in Beziehungen
41,"st louis, blues klassisches, singing blues, sing blues, blues blues",44,1955-1959,Blues als Ausdruck von Schmerz
42,"cowboys, davy, utah, pferdes, wilden westens",33,1955-1959,Amerikanischer Western‑Mythos
43,"autumn, laubs, herabfallenden, autumn leaves, fallenden blätter",51,1955-1959,Jahreszeiten als Motiv des Wandels
45,"sylvie, riverside, down by, fontäne, by riverside",14,1955-1959,Wasser als Motiv
46,"späten 1950er, freddy, lollipop, 1950er jahren, frühen rock",73,1955-1959,Begierde und körperliche Verführung
48,"los los, honky, honky tonk, tonk, harlem",40,1955-1959,Urbanes Stadtporträt
49,"indigo, mood indigo, farbe blau, been blue, ain been",21,1955-1959,Blau als Symbol der Melancholie
